City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,tokmak,47.2514,35.7058,-7.74,80,99,7.55,UA,1704767751
111,lerwick,60.1545,-1.1494,5.0,75,100,0.69,GB,1704767751
112,horsens,55.8607,9.8503,-6.79,92,12,1.89,DK,1704767751
113,mournies,35.4764,24.0092,12.22,94,75,3.6,GR,1704767751
114,kone,-21.0595,164.8658,29.13,65,97,2.9,NC,1704767752
115,grand falls-windsor,48.9332,-55.6649,-4.72,79,100,2.24,CA,1704767752
116,remire-montjoly,4.9167,-52.2667,26.02,94,20,1.03,GF,1704767752
117,qujing,25.4833,103.7833,11.71,44,0,1.58,CN,1704767752
118,ghat,24.9647,10.1728,10.88,30,0,2.47,LY,1704767753
119,atafu village,-8.5421,-172.5159,29.37,70,5,4.24,TK,1704767524
120,stanley,54.868,-1.6985,2.65,73,75,3.6,GB,1704767753
121,luderitz,-26.6481,15.1594,15.53,88,51,6.95,NA,1704767754
122,porto novo,6.4965,2.6036,25.83,88,2,2.0,BJ,1704767754
123,hadibu,12.65,54.0333,23.77,73,66,8.18,YE,1704767754
124,horta,38.5333,-28.6333,16.12,90,100,8.94,PT,1704767754
125,sukhodol,53.9006,51.2117,-25.15,100,100,2.32,RU,1704767755
126,timmins,48.4669,-81.3331,-19.1,84,40,1.54,CA,1704767755
127,pointe-noire,-4.7761,11.8635,26.04,94,40,1.03,CG,1704767755
128,noumea,-22.2763,166.4572,30.99,70,82,1.34,NC,1704767391
129,al wafrah,28.6392,47.9306,11.45,32,6,3.22,KW,1704767755
130,thunder bay,48.4001,-89.3168,-7.01,93,100,6.17,CA,1704767756
131,peruibe,-24.32,-46.9983,25.58,76,2,2.15,BR,1704767756
132,qashar,53.3906,62.9297,-31.12,93,41,2.88,KZ,1704767756
133,coyhaique,-45.5752,-72.0662,9.97,71,100,1.54,CL,1704767757
134,mu'minobod,38.1085,70.0285,-0.65,35,8,3.43,TJ,1704767757
135,ushuaia,-54.8,-68.3,4.81,81,40,11.83,AR,1704767757
136,kenora,49.8167,-94.4337,-10.46,85,100,3.6,CA,1704767757
137,la passe,45.5549,-0.8967,0.13,76,12,4.3,FR,1704767758
138,puerto baquerizo moreno,-0.9,-89.6,24.25,89,100,5.55,EC,1704767758
139,moanda,-1.5575,13.2178,21.88,95,100,0.49,GA,1704767758
140,klyuchi,52.2667,79.1667,-13.62,82,72,7.93,RU,1704767759
141,kodiak,57.79,-152.4072,1.73,69,75,4.12,US,1704767759
